#Ground truth data (u_i, v_i)		Noisy observations are:
#   u_i    v_i	noisy_u_i noisy_v_i
    20    20	30.6599   40.6570
    30    30	8.9595    37.2423
    40    40	39.2643   15.4473
    50    50	44.4980   46.7913
    60    60	38.3285   20.9157
    70    70	51.8103   69.8884
    80    80	45.5302   105.2615
    90    90	77.9913   48.7215
   100   100	102.2182  129.7523
   110   110	111.0600  113.2396
   120   120	119.4624  123.4715
   130   130	147.6434  133.6459
   140   140	155.1059  150.1607
   150   150	152.6376  155.6021
   160   160	140.3430  141.1183
   170   170	169.7388  177.0869
   180   180	162.1058  196.2422
   190   190	192.1907  244.6329
   200   200	208.2216  173.8628
   210   210	217.6761  219.9901
   220   220	209.7843  224.6984
   230   230	218.0435  230.4154
   240   240	248.3889  263.8221
   250   250	265.4243  197.1156
   260   260	265.7086  276.5219
   270   270	269.8376  287.1688
   280   280	295.4958  306.1189
   290   290	314.6301  309.1713
   300   300	266.9090  280.1921
   310   310	323.7047  290.5026

